"Countries" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"28" "China" 6.15264560085935 6.19876669032154 6.24504282172397 6.29183283870268 6.33959477932335 6.38888549619135 6.44023933889566 6.49416415086602 6.55102457422477 6.61100792155908 6.67418399153453 6.74055569092182 6.80999407401599 6.88223866599558 6.95697793882862 7.03382130271887 7.112403256324 7.19235902644892 7.27345421909735 7.35560829734096 7.43882096532797 7.5229814986238 7.60794519386173 7.69349595222466 7.77937836121942 7.86526471112414 7.9508917921398 8.03608781113657 8.12075595559564 8.20490931273987 8.28864220327837 8.3720707458425 8.45532571727096 8.53851257241993
"29" "Colombia" 8.19065090789945 8.21692382574578 8.24309886925417 8.26902257213564 8.29452903390584 8.31947380046748 8.34373579152022 8.36717824347861 8.38965705145692 8.41100758981052 8.43115015991732 8.45012668333915 8.46810387267055 8.48532349570082 8.50202888819868 8.51840047804725 8.53454767461511 8.55049561887394 8.5662180594314 8.5816674063998 8.59678725943036 8.61151848862891 8.62581486904118 8.63961379609454 8.65283027608424 8.66535490244068 8.67707762192841 8.68793220321899 8.69792826361851 8.70718075784173 8.7158772663397 8.72420489011825 8.73234280450882 8.74041765152697
"30" "Comoros" 7.41706960598805 7.43233669676913 7.44759829276556 7.46279071139423 7.47798366139851 7.49309440943962 7.50785966546913 7.5221887687714 7.53603812676724 7.54924767630629 7.56153371695073 7.57257616183032 7.58200972159947 7.58946197927712 7.59462180104012 7.59720061648087 7.59680989130175 7.59309442757821 7.58581629562552 7.57483201564087 7.56015988681689 7.54193840968354 7.52037399730433 7.49577695440945 7.46848105930973 7.43889319307156 7.40748215364896 7.3746624876122 7.34083954269709 7.30638865627389 7.2716136409306 7.23672574378795 7.2017930345256 7.16682679096573
"31" "Congo..Dem..Rep." 7.33854691735043 7.30983035022801 7.28091200387132 7.25158696757074 7.22165113965173 7.19111598814213 7.16018687508967 7.12915234350154 7.09815421757163 7.06716840149591 7.0360167234192 7.00450546287802 6.97247836414673 6.93977223858698 6.90588442729632 6.87020249689783 6.83201388701628 6.79058439338223 6.74533431707729 6.69587182189176 6.64202349028852 6.58383809575237 6.52196219157593 6.45756652070386 6.39187522470848 6.32579002866272 6.25999052857983 6.19486882009712 6.13064435529142 6.06748271089474 6.00558450968462 5.94501699488305 5.88554277912937 5.82669311619773
"32" "Congo..Republic.of" 7.13037073283975 7.18388630773995 7.2373725766543 7.29096314516665 7.34479585027425 7.39899887744311 7.4534247312942 7.50773406084721 7.56137770539752 7.61346047514071 7.66273954084975 7.70779900051535 7.74717743063655 7.7797585987271 7.80491321660944 7.82243227699154 7.83252787307791 7.8357058751537 7.83248533261213 7.82329472073533 7.80846279168886 7.78822058164492 7.76297997857962 7.73310715055842 7.6991328649968 7.66138759083432 7.61990015217859 7.57474165665401 7.52616631085706 7.47477509590754 7.42196149787089 7.36873543226666 7.3154505103555 7.26215824124106
"33" "Costa.Rica" 8.69652085918137 8.70732938535821 8.71800023527087 8.72826304186451 8.73779735011628 8.74627484776697 8.75339834630957 8.75889930280089 8.76254832523483 8.76429533883402 8.76433229959962 8.76311458664771 8.76131152083477 8.75968520113063 8.7588551884904 8.75927899894607 8.76134844568554 8.76535970482367 8.77152165403573 8.77995356442657 8.79068978698952 8.80369771679594 8.81885902723223 8.8359123431247 8.85453448508954 8.87441188443235 8.89526534092398 8.91685762732961 8.93894023381271 8.96125047021319 8.98355978823096 9.00580375336304 9.02803151842296 9.05027846853863
"34" "Cote.d.Ivoire" 7.5771732696453 7.59009805911182 7.60297107602143 7.61578724063975 7.62855027892071 7.64118122238185 7.65339269191611 7.66487830798639 7.67540599455161 7.68476804549017 7.69294309677544 7.70011220413176 7.70630643668505 7.71138781211689 7.71532519454806 7.71804423699644 7.71939551695687 7.71919972276917 7.71737044361226 7.71387694954726 7.70872257229868 7.70225912019514 7.69497525232998 7.6873557380545 7.67986895959926 7.67286714576377 7.66644822315134 7.66053917790874 7.65498522673111 7.64958729847205 7.64417149716067 7.63865183878228 7.63304002691035 7.62738553269421
"35" "Cuba" 7.84174822640943 7.89546342161599 7.94930319442725 8.00350719601334 8.058345277402 8.11400622367008 8.17043555562157 8.22741726927507 8.28454585645095 8.34135861176259 8.39735331335218 8.4518889804096 8.50390440309429 8.55222209562491 8.59570642039151 8.63324848263856 8.66370988218678 8.68648220220099 8.7014624985498 8.70901318401866 8.70996157521086 8.70557643357427 8.69738582595655 8.68713682428961 8.67647445863218 8.66659285764005 8.65829193052528 8.65198763365894 8.64782437270987 8.64565543400436 8.64508838820898 8.64563643893853 8.64682001612636 8.64824903645239
"36" "Cyprus" 8.52971565174946 8.5687405218186 8.607888069929 8.64756011195299 8.68846393765183 8.73154414895091 8.77743704882178 8.82604847086091 8.87693030803202 8.92955612488175 8.98342177599556 9.03809163881588 9.09322829869901 9.14853930595219 9.20375362131313 9.25861596026264 9.31287141539294 9.36623623633555 9.41836540810583 9.46892547232066 9.51770610814176 9.56461967218527 9.60976099953759 9.65329075535757 9.6954530835997 9.73642390398357 9.7763103125802 9.81527420215726 9.85348052967312 9.89106949742398 9.92816141401956 9.96488810753005 10.0013761766078 10.0377679515859
"37" "Denmark" 9.72090328306012 9.73432363418688 9.74771468279839 9.76103041554049 9.77427252572091 9.78753130031718 9.80090084448108 9.81438827408992 9.82803040986363 9.84187791366573 9.8559966598222 9.87050359108685 9.88550864085694 9.9010196226385 9.91697393277638 9.93324621607989 9.94970116312525 9.96624302802429 9.98287664817748 9.99966272414757 10.016704618481 10.0341071122018 10.0519529598079 10.0702840003774 10.089097747782 10.1082838256163 10.1277085371468 10.1472378705718 10.1667475033883 10.1861490949482 10.20538695474 10.2244397193395 10.2433569883094 10.2622159757753
