"Countries" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"26" "Chad" 991.19004 990.41755 899.95054 832.27032 900.35471 992.28382 955.34557 874.45551 854.52075 664.5791 624.7725 616.83994 619.31248 688.65976 718.42528 867.24531 834.60953 787.16424 880.85916 899.16691 833.55151 873.99114 901.88398 876.628 859.51962 899.15873 849.30925 831.0836 873.65444 881.34492 829.50513 755.66891 717.02998 883.51846
"27" "Chile" 6164.951 6634.4677 6526.1585 6118.7135 6128.6557 5212.814 5246.9231 5648.5945 6017.8304 6443.4877 6674.9279 6936.2558 5900.8537 5616.4587 5807.3704 5795.4164 5981.4377 6201.0581 6516.9703 7041.3774 7143.1944 7551.9643 8313.802 8745.908 9120.0052 9910.5172 10517.087 11048.902 11247.198 11137.426 11430.188 11660.958 11784.102 12141.279
"28" "China" 500.02714 533.94208 536.31442 561.91953 561.48978 588.91569 591.67578 615.99099 667.82022 723.60898 751.02805 802.6703 888.53389 944.46059 1061.049 1134.6875 1292.7861 1413.6098 1488.5394 1497.3271 1677.7844 1797.9876 1982.7097 2131.4911 2453.273 2702.2266 2924.5153 3229.3873 3474.6511 3690.9106 4001.8238 4281.0002 4630.3618 4970.452
"29" "Colombia" 3468.5821 3621.6574 3782.4423 3934.7441 4039.5095 4077.3416 4191.4385 4268.2959 4553.3926 4720.4323 4822.5908 4818.1666 4763.4671 4722.8152 4786.8195 4840.1119 4984.0133 5125.3814 5232.7586 5327.1709 5442.2575 5458.7038 5524.0094 5596.2312 5724.8499 5901.0387 6047.6018 6186.1436 6167.0665 6045.0134 6079.6779 6022.1015 6044.5538 6094.7968
"30" "Comoros" 1660.4961 1650.8764 1809.7696 1638.9546 1645.4365 1923.9702 1856.9431 1764.461 1783.9463 1871.8698 1888.3387 1938.6073 2011.2727 1995.1756 1909.5755 2019.3585 2087.489 2060.8512 2101.7548 2044.5082 1973.0284 1965.4865 1862.6648 1853.8467 1795.8753 1664.3545 1642.2173 1576.0206 1498.5146 1435.6349 1358.7802 1358.3269 1353.8337 1278.462
"31" "Congo..Dem..Rep." 1419.181 1493.0522 1452.782 1537.3491 1479.1291 1372.4989 1213.7856 1167.6919 1137.4268 1165.5507 1154.0152 1098.5345 931.40133 988.17761 958.94491 954.8411 986.15745 958.84504 927.69386 884.25743 973.73132 892.04266 694.58993 560.37148 546.22097 498.09453 488.30153 479.77569 466.2224 409.17007 359.14718 348.09431 338.0589 435.50847
"32" "Congo..Republic.of" 1234.7803 1406.7691 1392.7913 1461.3304 1386.4801 1513.6158 1586.8415 1586.5584 1672.9134 1889.8096 2089.1884 2555.1735 2812.8547 2829.5443 2902.5746 2807.2008 2534.6213 2439.324 2422.5987 2402.3635 2645.9978 2368.3117 2511.9628 2106.9312 1955.6442 2160.9452 2193.25 2238.2542 2548.2657 1512.2394 1286.1902 1405.1433 1477.0258 1421.1467
"33" "Costa.Rica" 5661.5351 5734.4841 5990.709 6155.6162 6312.2461 6359.6783 6432.1152 6840.569 7039.9802 7112.8948 6973.7543 6635.7424 6028.7581 5972.1796 6201.671 6130.4545 6163.6787 6182.7416 6232.6296 6330.7323 6351.2131 6288.5028 6595.4635 6903.3123 7103.0665 7267.7431 7264.4822 7414.4457 7727.9351 8323.9817 8341.4698 8105.4883 8153.5072 8586.5516
"34" "Cote.d.Ivoire" 1913.0694 2015.8076 2011.2131 1963.943 1891.6146 2066.4368 2171.3711 2153.0189 2321.4397 2358.3935 2065.13 2064.1868 2319.3564 2195.3645 2176.1118 2221.8347 2336.8423 2301.8584 2277.8678 2574.1318 2353.0388 2209.9015 2182.9237 2081.6047 1955.0051 2007.1899 2066.7662 2085.6254 2132.5107 2174.9307 2171.6587 2108.5565 2059.7183 2018.9091
"35" "Cuba" 2674.6646 2811.5546 2868.0371 2895.9857 2867.0519 3131.9037 3276.8369 3657.5119 3900.029 3967.3555 3749.0648 4471.0502 5017.2822 5233.938 5344.9328 6941.2824 7086.1607 7133.9829 7240.3442 7227.0855 6725.6492 6589.1423 5747.7806 4948.1857 5007.9738 4979.1363 5165.0582 5092.5802 5164.3685 5474.7868 5698.6177 5892.4735 6031.0481 6288.1758
