"NUTS_ID" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
"22" "UKJ1" 33729.4170673545 35066.955183827 36383.7865695228 37568.4916642527 38544.2450567043 39207.2626692842 39462.6812153267 39294.4753810805 38788.5908583421 38223.857277935 37992.9297333481 38212.6461536004 38808.9757103757 39609.8641907813 40505.8212682646
"23" "ITH1" 31725.2210662673 31803.8007363258 31910.3450357815 32200.2104762195 32747.0983634999 33528.6763272876 34483.0762590875 35431.8418380386 36231.2245418258 36908.3811540478 37645.4725316113 38431.3185467752 39183.4634667407 39782.4405912249 40287.4290652665
"24" "FI1B" 31355.0967669628 32062.5870226996 32809.2617957223 33720.291679685 34919.3653809261 36302.9249370345 37732.3139246508 38956.4079304902 39702.9123133238 39978.5071630442 40077.4065994122 40073.2635961014 39995.3460708797 39877.1997661386 39737.1150529288
"25" "DE12" 26461.1418863127 27288.4936606167 28138.0627331107 29065.9074162859 30121.995985336 31265.7515288488 32373.0777777583 33293.3582183828 33960.2838925993 34516.6085273435 35255.4404267352 36083.2305305191 36865.5593101626 37614.6903522497 38396.3977537387
"26" "AT34" 26033.5006835897 26799.0646492712 27607.2685055784 28452.9017992535 29361.5911161462 30286.4987542257 31186.9324328777 31960.3600708118 32554.3403974774 33082.7745309936 33794.8691258835 34718.5869117109 35786.7115578986 36913.0528279954 38061.5466362864
"27" "AT33" 25476.6631879882 26351.8978032411 27294.8663084158 28300.9989449157 29350.5473447977 30375.6033089319 31284.1710630209 31972.1583033385 32450.0053560747 32908.6072188856 33594.8580324552 34546.274782446 35673.1971693276 36830.560928378 37989.5902477831
"28" "BE21" 28878.9839956344 29598.025560585 30361.3896862341 31142.6748435866 31987.25715385 32837.6847632578 33590.5446734277 34184.3943238558 34591.3040062903 34961.8409206619 35527.9636258953 36207.7361336091 36898.7482752786 37529.3521010016 38124.0999368317
"29" "FI20" 28705.7355638878 30083.5033810315 31252.3535079531 32198.0077134656 32993.8112051094 33601.4279562705 34031.5121475172 34310.4894864147 34507.7437369254 34802.9803451854 35262.6657594227 35936.7895726355 36753.3148563147 37522.3183503291 38237.3464175376
"30" "DE91" 22982.7277887727 23443.1371878003 23954.3101406243 24640.1082509929 25519.7035001547 26509.8505491991 27476.151499191 28330.6323633234 29053.1349149186 29874.5997491672 31129.465874873 32660.2363409728 34256.6996564238 35875.0065156278 37494.2356679584
"31" "DE14" 24022.5893491892 24761.9550480645 25529.7064510695 26392.3164546436 27395.5049230552 28490.2210878296 29580.1333928032 30538.4749077599 31289.6573596348 31975.9364901216 32933.2228633723 34037.2772051197 35110.5445829568 36145.5057116575 37196.9541727226
"32" "DE25" 24975.0246445827 25657.865258501 26408.7019292861 27238.2722724445 28171.9215947971 29132.8716395737 30080.8366948363 30954.2715863155 31710.6972685677 32442.951242339 33338.1594454048 34320.575616766 35276.347984159 36184.3326766373 37107.1701457894
"33" "DEA1" 25172.7951426418 26071.0230694291 26989.6037733938 27985.5263406045 29085.4432533867 30238.3227795695 31363.4622664398 32358.0274165537 33077.0299698366 33558.1972795657 34082.9319038439 34683.3248360439 35314.1979649233 35965.0412054727 36655.072798295
"34" "NL41" 27570.2320796918 28073.3235198303 28629.1778272181 29342.8261059316 30330.6310076925 31510.1030072732 32697.8516182154 33660.8698728972 34246.4945447821 34548.32322767 34876.5143881958 35277.4947765671 35705.4488408803 36166.1618649809 36664.5473181738
"35" "ITC2" 29546.6228338372 30059.8160663399 30549.5496454287 31094.7933470751 31686.5890039823 32348.8115133213 33027.481531626 33612.8098732989 34022.6103076823 34300.6470243906 34679.0665638092 35117.9119424209 35564.5755264991 35979.5837715296 36409.1310487588
"36" "DEA2" 26236.7749154836 26924.9723597685 27639.2858175761 28385.8357248659 29228.4567867856 30137.2499925038 31045.7632453041 31833.5844496688 32404.9793908321 32882.8403420809 33469.262874169 34129.0881031173 34784.0750850796 35447.3287797109 36150.5021330537
"37" "NL33" 28169.6173264949 28900.9769553186 29669.197811903 30558.9848111582 31691.9712180893 33004.3527279166 34289.6096409657 35276.5258210957 35727.5475896113 35712.8771364418 35570.3090371785 35459.5775255823 35449.1673894655 35534.031012547 35685.2539962315
"38" "AT31" 24367.4039935673 25114.4769975585 25930.765362579 26835.1681300485 27825.6618833744 28846.5963051561 29822.2151766531 30653.3068703001 31301.105330267 31862.315401476 32593.4650760065 33501.1118817014 34480.8589342431 35428.1314482414 36337.4172088274
"39" "BE31" 24032.7809969849 24924.0013135881 25813.9766706738 26697.4618985501 27649.8555602177 28650.962314909 29688.6099322216 30726.4722113679 31698.0453624045 32564.5900415693 33399.6796471156 33978.5531706453 34476.5008602223 34992.2444566066 35548.2655629233
"40" "RO32" 10041.3005531758 11331.7841067901 12759.6595718963 14473.2334028999 16611.2665227028 19188.8025097432 22075.0822988267 25045.1384231999 27717.9902482973 29737.4349918414 31400.391431827 32773.7887475545 33812.4934892318 34715.566007458 35616.0676945554
"41" "BE24" 25170.3248246195 25844.0809534183 26502.425110278 27169.1323707125 27899.2697925913 28688.8432544699 29485.9754680891 30192.5742244748 30776.7912397582 31351.9663541549 32051.152809519 32855.0892310399 33720.3297943839 34562.614398251 35390.4301742398
"42" "DE23" 21944.9775772764 22618.4366664919 23348.6993433431 24173.6193288273 25139.2584490065 26215.8994373305 27319.5436754083 28363.6486348756 29274.544799303 30144.3788706812 31181.3703831119 32266.6382513884 33284.2821290057 34235.7395492367 35188.9629047136
"43" "DE26" 22576.7111239802 23409.2434223649 24245.5019409128 25119.7339522086 26074.9064182911 27070.8288688455 27991.3258066307 28756.8891153902 29353.3985498065 29949.6316060997 30801.8220125211 31806.2624403458 32794.9540388455 33742.8959668367 34705.8947369207
"44" "ITC4" 30779.2204872992 31125.0108724639 31426.1259796607 31745.8887913277 32159.4421331568 32718.586624228 33385.6121423158 34023.8347053186 34466.8723883639 34688.5297137285 34891.9116215508 35025.9582977728 35040.9040688883 34962.8299337472 34859.2722401778
