"ID" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"24" "Cape.Verde" 1950.18337433997 1952.67681469494 1955.54098011406 1959.49350187474 1965.75196730411 1975.62872847461 1990.72111129043 2012.30932158455 2041.41949491175 2078.79442377282 2124.8208574313 2179.49257859128 2242.31523181329 2312.48236646134 2388.85191231997 2470.4295502575 2556.48038311151 2646.89232159389 2742.07344120878 2842.69250315631 2949.89500903362 3065.13564392994 3189.64778616191 3324.36128143635 3469.64719924469 3625.50193662475 3791.02436436625 3964.97366766734 4145.43858856526 4330.32162392808 4517.60113165246 4705.64609757524 4893.98989345411 5082.42681205286
"25" "Central.African.Republic" 1022.54339089221 1026.46547350138 1030.62670363332 1035.15096327705 1039.94029233749 1044.7143601114 1049.04732733965 1052.38013808788 1054.08364185335 1053.62085628811 1050.86596718958 1045.94099446445 1039.01744385144 1030.30450185311 1020.0678658624 1008.4070556176 995.436626692355 981.306285271268 966.260419972205 950.564453074855 934.596251808978 918.906772271646 904.224499680409 891.419787347137 881.069501684501 873.436904961801 868.535545394129 866.22300353417 866.112334271125 867.650697610359 870.177936996561 873.178462380392 876.323994095022 879.49016679267
"26" "Chad" 959.598281491638 939.06804828056 918.616794465752 898.451873197786 878.733971991065 859.458324477 840.674216132025 822.76299617138 806.392692194975 792.360563087291 781.584187877325 774.66169193635 771.799171415953 772.808168087873 777.119006995313 783.951642161257 792.379293291198 801.683414260227 811.251034535208 820.432885647353 828.753719441538 835.935122823516 841.710677175443 845.909103922409 848.509557746572 849.56799057028 849.167879471515 847.516678376833 844.822194639114 841.251152915293 837.042358475708 832.534851008408 828.048827130255 823.712318605588
"27" "Chile" 6118.31337242313 6073.24014473328 6028.28351111237 5984.96313451751 5946.04336537803 5914.62293003697 5894.2570856739 5886.74656714334 5892.27377433559 5910.4257269731 5941.10333634249 5985.54016866294 6046.80435156278 6130.34080174867 6241.22955929838 6383.2659590353 6559.16068788458 6770.15480887376 7016.04507756069 7295.20550773103 7604.76242622653 7941.20758961963 8299.87883441719 8675.14088890202 9061.39328927091 9453.21248949836 9845.32147333571 10233.5864863106 10615.5531877672 10990.805525834 11360.5065606702 11726.1859036201 12089.5473696265 12452.1317038733
"28" "China" 420.84455324002 447.521841825066 474.397086877013 501.884295458196 530.552267963762 561.119892875209 594.383402454127 631.20851845492 672.45419357585 718.941336694049 771.479271752705 830.888991803274 897.940361842829 973.332700138934 1057.74180877954 1151.77130957728 1256.03309232278 1371.09633728279 1497.62210724321 1636.37774864673 1788.10790116797 1953.20957785988 2131.80398302255 2323.62426601137 2528.0308404742 2743.90378714387 2969.936292152 3204.71734866239 3446.72239735843 3694.48855380187 3946.62275531105 4201.72299431982 4458.52526587374 4715.96375803258
"29" "Colombia" 3581.72701126059 3690.15911643023 3798.30835932172 3905.72062336584 4011.90212684504 4116.43164673339 4218.95697843782 4319.02819224845 4416.12656225928 4509.60653183372 4599.1657094295 4685.02876792478 4767.97894292415 4849.13231461238 4929.59368356694 5010.15205757876 5091.23950897986 5172.8630097083 5254.7614661797 5336.55508078542 5417.80904875134 5498.06510485141 5576.92610498768 5653.89650180008 5728.34845616607 5799.50996570861 5866.60028166025 5929.09247708925 5986.91212885973 6040.6274416431 6091.25700603861 6139.83037754139 6187.34816388149 6234.5166505951
"30" "Comoros" 1662.83220712998 1690.24096307483 1717.64387875185 1744.93670248554 1772.24549690349 1799.43136937712 1826.03840478554 1851.92203508446 1877.01495396761 1901.03120254099 1923.45215027571 1943.68626313653 1961.05422346248 1974.8640161848 1984.54917242604 1989.59400226829 1989.2953816126 1983.02459760432 1970.39842143478 1951.2281908013 1925.65363434762 1894.04768074046 1856.90169556069 1814.88564143731 1768.68388876044 1719.07821056658 1666.91835842034 1612.91727460994 1557.7261487775 1501.90392887866 1445.86153399708 1389.84421064426 1333.87950199667 1277.9161579542
"31" "Congo..Dem..Rep." 1518.04569658844 1480.44452135981 1442.59618438972 1404.28504313328 1365.32091958465 1325.84629588016 1286.28817460716 1247.19018986332 1208.91471930978 1171.62539488302 1135.30712872124 1099.92964622546 1065.50944297487 1032.05952668311 999.257634781365 966.671799909135 933.769272893954 899.987727813587 864.895809188561 828.209304819871 789.800997635542 749.683790876548 708.330413589772 666.569491994908 625.195301102675 584.736620893806 545.524795521274 507.674563910821 471.157606824385 435.875857839124 401.71891251514 368.509601942934 335.964327881719 303.748453860851
"32" "Congo..Republic.of" 1186.15198402652 1284.80285138242 1383.57528952826 1482.8957848755 1583.21386386182 1684.92513946267 1787.93339024387 1891.71412142258 1995.24010849035 2096.72123763516 2193.56157827378 2282.64792072889 2360.60612237747 2424.74335454471 2473.49740999983 2506.31808387568 2523.72786428015 2527.00144611139 2517.4407578569 2496.12853438887 2463.91040543485 2421.39758813643 2369.6565181216 2309.62091629801 2242.58026927802 2169.31733938323 2089.89754876206 2004.36538921446 1913.02373366847 1816.7601770791 1718.0504193172 1618.60885831091 1519.07024144007 1419.53565218876
"33" "Costa.Rica" 5994.59383528869 6060.94435902927 6126.46223593164 6189.49866850998 6248.06547618868 6300.08977222084 6343.65912141909 6377.0100599155 6398.60026403862 6408.04630746718 6406.56821371982 6397.14812754651 6384.18615891294 6372.67890346592 6366.73438670497 6369.45938587096 6383.54801973799 6411.09689486547 6453.6529445135 6512.19221370498 6587.13818910155 6678.46070758056 6785.53979329665 6906.78057563547 7040.11299324944 7183.45831410189 7334.89518992304 7492.71298440785 7655.02502877645 7819.74898603797 7984.98479437961 8150.09297377345 8315.32525670564 8480.82186397789
